sort,Name,Sex,Color,Birth Year,Birth Month/Day,Birth Pack,Mother,Father,Birth Location,Current/Death Pack,Previous Packs,Death Year,Last seen,Death/Last Month/Day,Death Cause,Death/Last Location,Alt name,Translocated,on 2023 Wolf Chart?,Official Tree?,Book?,notes
1275,1275,M,b,2020,April,Junction Butte,1276F (1382F? or 907F?),1048M,"Slough Creek, YNP",Rescue Creek,-,N/A,2021,unknown,N/A, Unknown,,,,Yes,No,
1276,1276,F,b,2018,April,Junction Butte,907F,1047M,"Little America Area, North Central YNP",Junction Butte,-,N/A,2023,October 6,N/A," Lamar Valley Area, YNP",Third Mother,,x,Yes,No,Most likely died from a hoof kick
1277,1277,?,?,2020,April,Carnelian Creek,?,?,Northern YNP,Carnelian Creek,-,2020,N/A,December 12,Wolf (Junction Butte),unknown,,,,No,No,only in Report
1278,1278,M,g,2020,April,Junction Butte,907F (1382F? or 1276F?),1047M (1048M?),"Slough Creek, YNP",Junction Butte,-,Living,Living,Living,Living,Living,,,,Yes,No,listed as a Rescue Creek wolf in 2022 Wolf Chart
1279,1279,M,g,2020,?,Carnelian Creek,?,?,Northern YNP,Carnelian Creek,-,N/A,2021,unknown,N/A, Unknown,,,,no,No,only in Report
1325,1325,M,g,2020,?,8-Mile,?,?,Location Unknown,8-Mile,-,2022,N/A,December 31,Legally Shot ,Montana,,,,No,No,
1326,1326,M,g,2019?,?,Wapiti Lake,?,?,Location Unknown,8-Mile,-,Living,Living,Living,Living,Living,,,x,No,No,
1327,1327,F,g,2020,?,8-Mile,?,?,Location Unknown,8-Mile,-,N/A,2021,unknown,N/A, Unknown,,,,No,No,only in Report
1328,1328,F,g,2020,?,8-Mile,?,?,Location Unknown,8-Mile,-,Living,Living,Living,Living,Living,,,x,No,No,
1329,1329,M,b,2020?,?,Wapiti Lake,?,?,Location Unknown,none,-,N/A,2022,unknown,N/A,Southern Wyoming,,,,No,No, llegally trapped
1330,1330,F,g,2021,?,Wapiti Lake,?,?,Location Unknown,Wapiti Lake,-,Living,Living,Living,Living,Living,,,x,No,No,
1331,1331,F,g,2021,?,Wapiti Lake,?,?,Location Unknown,Wapiti Lake,-,Living,Living,Living,Living,Living,,,x,No,No,
1336,1336,M,b,2021,April,Wapiti Lake,Wapiti Alpha Female,1014M,"Hayden Valley, YNP",None,"Wapiti Lake, Firehole River",Living,Living,Living,Living,Living,,,x,Yes,No,
1337,1337,F,b,2021,April,Wapiti Lake,Wapiti Alpha Female,1014M,"Hayden Valley, YNP",Firehole River,-,2022,N/A,September 23,Legally Shot ,Idaho,,,,Yes,No,
